Sample,Learner,Weight
Sample 0,Timer,0.565463125705719
Sample 0,Chronos,0.4345369040966034
Sample 1,TimesFM,0.5388723611831665
Sample 1,Moirai,0.4611275792121887
Sample 2,Time-MoE,0.5854198336601257
Sample 2,Chronos,0.41458016633987427
Sample 3,Chronos,0.5732864141464233
Sample 3,Timer,0.4267135560512543
Sample 4,Chronos,0.5864166617393494
Sample 4,Moirai,0.41358330845832825
Sample 5,Time-MoE,0.8055357336997986
Sample 5,TimesFM,0.194464311003685
Sample 6,Moirai,0.7619469165802002
Sample 6,Timer,0.2380531132221222
Sample 7,Chronos,0.5507791042327881
Sample 7,Timer,0.4492208957672119
Sample 8,TimesFM,0.7010630965232849
Sample 8,Timer,0.29893696308135986
Sample 9,Moirai,0.5423510074615479
Sample 9,Chronos,0.45764896273612976
Sample 10,TimesFM,0.569637656211853
Sample 10,Moirai,0.430362343788147
Sample 11,Chronos,0.670197069644928
Sample 11,Moirai,0.3298029601573944
Sample 12,TimesFM,0.6658934354782104
Sample 12,Moirai,0.33410656452178955
Sample 13,Time-MoE,0.7286971211433411
Sample 13,Chronos,0.2713029086589813
Sample 14,Chronos,0.5653672814369202
Sample 14,Moirai,0.43463265895843506
Sample 15,Timer,0.5239047408103943
Sample 15,Time-MoE,0.4760952591896057
Sample 16,Time-MoE,0.5113509893417358
Sample 16,Timer,0.4886489808559418
Sample 17,Moirai,0.6918466687202454
Sample 17,TimesFM,0.30815330147743225
Sample 18,Time-MoE,0.5873128771781921
Sample 18,Chronos,0.41268712282180786
Sample 19,Time-MoE,0.5981398820877075
Sample 19,Chronos,0.4018601179122925
Sample 20,Timer,0.6100622415542603
Sample 20,TimesFM,0.38993778824806213
Sample 21,Time-MoE,0.5904658436775208
Sample 21,Moirai,0.4095340967178345
Sample 22,Chronos,0.632926344871521
Sample 22,TimesFM,0.3670736253261566
Sample 23,Timer,0.7273240089416504
Sample 23,Chronos,0.272676020860672
Sample 24,Moirai,0.5492540597915649
Sample 24,TimesFM,0.45074597001075745
Sample 25,TimesFM,0.5045562982559204
Sample 25,Moirai,0.4954437017440796
Sample 26,Time-MoE,0.7335500121116638
Sample 26,Timer,0.2664499580860138
Sample 27,Time-MoE,0.6023338437080383
Sample 27,Timer,0.3976661264896393
Sample 28,TimesFM,0.5400026440620422
Sample 28,Moirai,0.45999741554260254
Sample 29,TimesFM,0.6750320792198181
Sample 29,Moirai,0.3249679505825043
Sample 30,Time-MoE,0.5263240933418274
Sample 30,TimesFM,0.4736758768558502
Sample 31,Timer,0.5145896077156067
Sample 31,TimesFM,0.4854103922843933
Sample 0,Moirai,0.5907089710235596
Sample 0,Timer,0.40929102897644043
Sample 1,Timer,0.5660335421562195
Sample 1,Moirai,0.43396642804145813
Sample 2,Moirai,0.653863787651062
Sample 2,Timer,0.34613627195358276
Sample 3,Time-MoE,0.5124991536140442
Sample 3,Chronos,0.4875008463859558
Sample 4,Chronos,0.5513731837272644
Sample 4,Time-MoE,0.448626846075058
Sample 5,Chronos,0.8746930360794067
Sample 5,TimesFM,0.12530699372291565
Sample 6,Moirai,0.5050680041313171
Sample 6,Chronos,0.49493199586868286
Sample 7,Chronos,0.6840671896934509
Sample 7,Time-MoE,0.3159327805042267
Sample 8,Timer,0.6965346336364746
Sample 8,TimesFM,0.30346542596817017
Sample 9,Time-MoE,0.6962798833847046
Sample 9,TimesFM,0.303720086812973
Sample 10,Moirai,0.5433908104896545
Sample 10,TimesFM,0.45660918951034546
Sample 11,Chronos,0.5188318490982056
Sample 11,Time-MoE,0.48116812109947205
Sample 12,Moirai,0.6440198421478271
Sample 12,Time-MoE,0.35598018765449524
Sample 13,Moirai,0.5193766355514526
Sample 13,TimesFM,0.48062336444854736
Sample 14,TimesFM,0.6943774819374084
Sample 14,Moirai,0.30562251806259155
Sample 15,Timer,0.7267029881477356
Sample 15,Time-MoE,0.2732970416545868
Sample 16,Timer,0.5114498138427734
Sample 16,Chronos,0.48855018615722656
Sample 17,Moirai,0.5644029974937439
Sample 17,TimesFM,0.4355970323085785
Sample 18,Time-MoE,0.6376354098320007
Sample 18,Timer,0.36236461997032166
Sample 19,Time-MoE,0.7125552892684937
Sample 19,Timer,0.28744471073150635
Sample 20,Moirai,0.6080078482627869
Sample 20,TimesFM,0.3919921815395355
Sample 21,Moirai,0.6235519647598267
Sample 21,Time-MoE,0.37644800543785095
Sample 22,Moirai,0.6547515988349915
Sample 22,Time-MoE,0.34524837136268616
Sample 23,Chronos,0.6646373271942139
Sample 23,Timer,0.33536267280578613
Sample 24,Time-MoE,0.8627479672431946
Sample 24,TimesFM,0.13725203275680542
Sample 25,Chronos,0.6523202657699585
Sample 25,Timer,0.34767967462539673
Sample 26,Chronos,0.5036304593086243
Sample 26,Moirai,0.4963695704936981
Sample 27,Timer,0.5818830132484436
Sample 27,TimesFM,0.418116956949234
Sample 28,Chronos,0.5415917634963989
Sample 28,Timer,0.4584082365036011
Sample 29,Time-MoE,0.8591758608818054
Sample 29,Chronos,0.14082421362400055
Sample 30,Moirai,0.5430271029472351
Sample 30,Timer,0.4569729268550873
Sample 31,TimesFM,0.6682907342910767
Sample 31,Timer,0.33170926570892334
Sample 0,Chronos,0.5064960718154907
Sample 0,Time-MoE,0.4935038983821869
Sample 1,Chronos,0.5573984980583191
Sample 1,Timer,0.44260144233703613
Sample 2,Moirai,0.5330773591995239
Sample 2,Chronos,0.4669226408004761
Sample 3,Timer,0.5593289732933044
Sample 3,Chronos,0.44067105650901794
Sample 4,TimesFM,0.7102082967758179
Sample 4,Time-MoE,0.28979167342185974
Sample 5,TimesFM,0.5085015892982483
Sample 5,Time-MoE,0.4914984107017517
Sample 6,Moirai,0.5147043466567993
Sample 6,Timer,0.4852956235408783
Sample 7,Moirai,0.526773989200592
Sample 7,Timer,0.47322598099708557
Sample 8,Chronos,0.5968356728553772
Sample 8,Time-MoE,0.4031642973423004
Sample 9,TimesFM,0.5140902400016785
Sample 9,Timer,0.4859097898006439
Sample 10,Time-MoE,0.5083319544792175
Sample 10,Chronos,0.4916680157184601
Sample 11,Moirai,0.692062258720398
Sample 11,Timer,0.30793774127960205
Sample 12,Moirai,0.692291259765625
Sample 12,Time-MoE,0.3077087104320526
Sample 13,Moirai,0.7446513175964355
Sample 13,Time-MoE,0.25534871220588684
Sample 14,Moirai,0.528643786907196
Sample 14,Chronos,0.47135627269744873
Sample 15,Moirai,0.5137413740158081
Sample 15,Time-MoE,0.4862585961818695
Sample 16,Chronos,0.5202538967132568
Sample 16,Moirai,0.47974613308906555
Sample 17,Time-MoE,0.5021951198577881
Sample 17,TimesFM,0.4978048801422119
Sample 18,Chronos,0.6214405298233032
Sample 18,Timer,0.37855949997901917
Sample 19,Moirai,0.5298655033111572
Sample 19,Chronos,0.4701344668865204
Sample 20,Time-MoE,0.6043881773948669
Sample 20,TimesFM,0.39561188220977783
Sample 21,Time-MoE,0.5155138969421387
Sample 21,Timer,0.48448607325553894
Sample 22,Time-MoE,0.5131996273994446
Sample 22,Moirai,0.48680034279823303
Sample 23,Moirai,0.7904311418533325
Sample 23,Timer,0.2095688432455063
Sample 24,Time-MoE,0.6073740124702454
Sample 24,Chronos,0.39262595772743225
Sample 25,Timer,0.5650243759155273
Sample 25,Chronos,0.43497562408447266
Sample 26,TimesFM,0.6578271389007568
Sample 26,Time-MoE,0.3421728312969208
Sample 27,Chronos,0.5254617929458618
Sample 27,Moirai,0.4745382070541382
Sample 28,Moirai,0.7750873565673828
Sample 28,Time-MoE,0.2249126434326172
Sample 29,Time-MoE,0.6664814949035645
Sample 29,Chronos,0.33351850509643555
Sample 30,Chronos,0.6185582280158997
Sample 30,Time-MoE,0.3814418315887451
Sample 31,TimesFM,0.6410635113716125
Sample 31,Timer,0.35893648862838745
Sample 0,TimesFM,0.731867790222168
Sample 0,Timer,0.26813220977783203
Sample 1,Time-MoE,0.7545303106307983
Sample 1,Moirai,0.24546964466571808
Sample 2,TimesFM,0.552290678024292
Sample 2,Chronos,0.4477093815803528
Sample 3,Moirai,0.5693748593330383
Sample 3,Timer,0.43062517046928406
Sample 4,Chronos,0.5309876799583435
Sample 4,Time-MoE,0.4690123498439789
Sample 5,TimesFM,0.6332568526268005
Sample 5,Moirai,0.3667430877685547
Sample 6,Time-MoE,0.8698185086250305
Sample 6,TimesFM,0.1301814764738083
Sample 7,TimesFM,0.6899597644805908
Sample 7,Timer,0.3100402355194092
Sample 8,Moirai,0.8933944702148438
Sample 8,TimesFM,0.10660549998283386
Sample 9,Time-MoE,0.6941816210746765
Sample 9,Moirai,0.3058183789253235
Sample 10,Time-MoE,0.7293702363967896
Sample 10,Chronos,0.27062979340553284
Sample 11,Time-MoE,0.6736096143722534
Sample 11,Moirai,0.32639041543006897
Sample 12,TimesFM,0.5418117046356201
Sample 12,Timer,0.45818832516670227
Sample 13,Time-MoE,0.7150486707687378
Sample 13,Chronos,0.28495126962661743
Sample 14,Chronos,0.6585555672645569
Sample 14,Moirai,0.3414444923400879
Sample 15,TimesFM,0.5572450757026672
Sample 15,Moirai,0.4427548944950104
Sample 16,Timer,0.5386869311332703
Sample 16,Time-MoE,0.46131306886672974
Sample 17,Time-MoE,0.7451165914535522
Sample 17,TimesFM,0.25488343834877014
Sample 18,Chronos,0.6113298535346985
Sample 18,Time-MoE,0.3886701762676239
Sample 19,Chronos,0.5092988014221191
Sample 19,Timer,0.49070119857788086
Sample 20,Chronos,0.5288452506065369
Sample 20,Time-MoE,0.47115471959114075
Sample 21,Timer,0.6224141716957092
Sample 21,TimesFM,0.37758582830429077
Sample 22,Moirai,0.6069300770759583
Sample 22,Chronos,0.39306992292404175
Sample 23,Timer,0.6993329524993896
Sample 23,Time-MoE,0.3006669878959656
Sample 24,Time-MoE,0.5030320882797241
