Sample,Learner,Weight
Sample 0,Timer,0.5497856736183167
Sample 0,Chronos,0.45021435618400574
Sample 1,TimesFM,0.531108558177948
Sample 1,Moirai,0.468891441822052
Sample 2,Time-MoE,0.6355709433555603
Sample 2,Chronos,0.3644290566444397
Sample 3,Timer,0.6943163275718689
Sample 3,Chronos,0.3056836724281311
Sample 4,Chronos,0.5512685775756836
Sample 4,Moirai,0.4487314224243164
Sample 5,Time-MoE,0.6753751635551453
Sample 5,TimesFM,0.32462480664253235
Sample 6,Moirai,0.6798259019851685
Sample 6,Timer,0.32017409801483154
Sample 7,Chronos,0.6912651658058167
Sample 7,Timer,0.30873483419418335
Sample 8,TimesFM,0.665553867816925
Sample 8,Timer,0.33444613218307495
Sample 9,Moirai,0.5354575514793396
Sample 9,Chronos,0.464542418718338
Sample 10,TimesFM,0.6373703479766846
Sample 10,Moirai,0.36262962222099304
Sample 11,Chronos,0.6215031743049622
Sample 11,Moirai,0.37849682569503784
Sample 12,TimesFM,0.6020070910453796
Sample 12,Moirai,0.3979928493499756
Sample 13,Time-MoE,0.6159313321113586
Sample 13,Chronos,0.38406863808631897
Sample 14,Chronos,0.5767138600349426
Sample 14,Moirai,0.4232861399650574
Sample 15,Time-MoE,0.5372705459594727
Sample 15,Timer,0.46272942423820496
Sample 16,Time-MoE,0.6048542857170105
Sample 16,Timer,0.3951456844806671
Sample 17,Moirai,0.6169330477714539
Sample 17,Timer,0.38306695222854614
Sample 18,Chronos,0.5267595648765564
Sample 18,Time-MoE,0.473240464925766
Sample 19,Time-MoE,0.6069116592407227
Sample 19,TimesFM,0.39308837056159973
Sample 20,Timer,0.5842124223709106
Sample 20,TimesFM,0.41578754782676697
Sample 21,Timer,0.5383267998695374
Sample 21,Time-MoE,0.46167320013046265
Sample 22,TimesFM,0.6041035056114197
Sample 22,Chronos,0.39589643478393555
Sample 23,Timer,0.8815867304801941
Sample 23,Chronos,0.1184132993221283
Sample 24,TimesFM,0.5046007633209229
Sample 24,Moirai,0.49539920687675476
Sample 25,TimesFM,0.5018712878227234
Sample 25,Moirai,0.498128741979599
Sample 26,Timer,0.5290000438690186
Sample 26,Time-MoE,0.47099995613098145
Sample 27,Time-MoE,0.5808098316192627
Sample 27,Timer,0.4191901683807373
Sample 28,TimesFM,0.5625405311584473
Sample 28,Moirai,0.4374594986438751
Sample 29,TimesFM,0.629031777381897
Sample 29,Moirai,0.3709682524204254
Sample 30,Time-MoE,0.5108998417854309
Sample 30,TimesFM,0.4891001582145691
Sample 31,Time-MoE,0.5438815355300903
Sample 31,TimesFM,0.45611846446990967
Sample 0,Timer,0.6363475322723389
Sample 0,Moirai,0.3636524975299835
Sample 1,Time-MoE,0.5707924365997314
Sample 1,Chronos,0.42920759320259094
Sample 2,Chronos,0.5048264265060425
Sample 2,TimesFM,0.49517354369163513
Sample 3,Chronos,0.7026936411857605
Sample 3,Moirai,0.2973062992095947
Sample 4,Chronos,0.6079643964767456
Sample 4,Timer,0.3920356333255768
Sample 5,Chronos,0.7413918375968933
Sample 5,Timer,0.2586081624031067
Sample 6,Time-MoE,0.6253735423088074
Sample 6,Timer,0.3746264576911926
Sample 7,Moirai,0.5621199607849121
Sample 7,Chronos,0.4378800392150879
Sample 8,Timer,0.5702647566795349
Sample 8,Moirai,0.4297352135181427
Sample 9,Chronos,0.5523072481155396
Sample 9,TimesFM,0.44769278168678284
Sample 10,Moirai,0.7180621027946472
Sample 10,Chronos,0.2819378674030304
Sample 11,Moirai,0.5854003429412842
Sample 11,TimesFM,0.41459962725639343
Sample 12,Time-MoE,0.6191590428352356
Sample 12,Moirai,0.3808409571647644
Sample 13,TimesFM,0.6297455430030823
Sample 13,Chronos,0.3702544569969177
Sample 14,TimesFM,0.5332831144332886
Sample 14,Moirai,0.4667168855667114
Sample 15,Moirai,0.5269699692726135
Sample 15,TimesFM,0.47303009033203125
Sample 16,Chronos,0.5478690266609192
Sample 16,Moirai,0.4521310031414032
Sample 17,Timer,0.5054259896278381
Sample 17,Time-MoE,0.4945739507675171
Sample 18,Moirai,0.5831189155578613
Sample 18,Timer,0.41688108444213867
