Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.5076,7.1262,11.999,3.5485,86.7293,14.7625,10.882,6.486265795172106e+19
Timer,23.3999,4.518,20.5511,3.1453,45.44,10.1688,4.4753,1.8704543060380877e+19
TimesFM,19.3017,8.3603,28.2933,3.2161,55.6429,5.8772,7.2491,1.5711617433993216e+19
Morai,11.8103,6.619,16.5938,6.0191,21.6753,12.2377,10.6657,2.016555693150044e+19
Chronos,12.03,10.5138,15.265,3.3556,25.239,6.1761,6.5275,2.927194897133863e+20
My-MoE,14.7422,9.6532,13.2329,3.2816,94.7801,6.3604,5.5792,6.564504293825577e+19
AutoETS,14.6167,10.0692,29.3779,6.7994,19.2164,22.1177,5.7694,3.801916646830899e+18
AutoARIMA,13.2455,8.1014,29.8808,8.0123,63.2319,6.7084,9.0901,16.6667
NBEATS,16.3189,14.8322,16.7719,9.3906,84.2465,9.1057,13.1619,3.0301815471026995e+19
RandomForest,5.8685,6.5393,11.485,3.3295,35.4004,6.533,5.2283,4.26419333429094e+18
XGBRegressor,5.5962,6.7368,18.2484,3.3209,42.3738,7.6265,8.217,5.076613118663066e+18
