Sample,Learner,Weight
Sample 0,Timer,0.5360187888145447
Sample 0,Chronos,0.4639812707901001
Sample 1,Timer,0.5116464495658875
Sample 1,TimesFM,0.48835355043411255
Sample 2,Time-MoE,0.6118768453598022
Sample 2,Chronos,0.388123095035553
Sample 3,Chronos,0.5557963252067566
Sample 3,TimesFM,0.4442036747932434
Sample 4,Chronos,0.5913944244384766
Sample 4,Timer,0.40860554575920105
Sample 5,Time-MoE,0.7939656972885132
Sample 5,TimesFM,0.20603425800800323
Sample 6,Moirai,0.7877881526947021
Sample 6,Timer,0.21221181750297546
Sample 7,Chronos,0.5086690187454224
Sample 7,Timer,0.49133098125457764
Sample 8,TimesFM,0.5207039713859558
Sample 8,Timer,0.4792960286140442
Sample 9,Moirai,0.5755247473716736
Sample 9,Chronos,0.4244752526283264
Sample 10,TimesFM,0.6514156460762024
Sample 10,Moirai,0.34858438372612
Sample 11,Chronos,0.6572974324226379
Sample 11,Moirai,0.34270256757736206
Sample 12,TimesFM,0.5172613859176636
Sample 12,Moirai,0.4827386438846588
Sample 13,Time-MoE,0.6936141848564148
Sample 13,Chronos,0.3063858151435852
Sample 14,Chronos,0.5815107226371765
Sample 14,Moirai,0.4184892773628235
Sample 15,Timer,0.550132155418396
Sample 15,Time-MoE,0.449867844581604
Sample 16,Timer,0.5039768815040588
Sample 16,Time-MoE,0.49602311849594116
Sample 17,Moirai,0.6779118776321411
Sample 17,TimesFM,0.3220881223678589
Sample 18,Time-MoE,0.8507565855979919
Sample 18,Chronos,0.14924336969852448
Sample 19,Time-MoE,0.5392640829086304
Sample 19,Timer,0.46073588728904724
Sample 20,Timer,0.6618582010269165
Sample 20,TimesFM,0.3381417989730835
Sample 21,Time-MoE,0.6641513705253601
Sample 21,Moirai,0.3358485996723175
Sample 22,TimesFM,0.5893175601959229
Sample 22,Chronos,0.41068246960639954
Sample 23,Timer,0.8667845129966736
Sample 23,Chronos,0.13321544229984283
Sample 24,Moirai,0.6771135926246643
Sample 24,TimesFM,0.3228863775730133
Sample 25,Moirai,0.5000321865081787
Sample 25,TimesFM,0.4999678432941437
Sample 26,Time-MoE,0.6496260762214661
Sample 26,Timer,0.35037392377853394
Sample 27,Time-MoE,0.5717047452926636
Sample 27,Timer,0.4282952845096588
Sample 28,TimesFM,0.5094895958900452
Sample 28,Moirai,0.49051034450531006
Sample 29,TimesFM,0.6490108370780945
Sample 29,Moirai,0.3509891629219055
Sample 30,Time-MoE,0.5180607438087463
Sample 30,TimesFM,0.48193925619125366
Sample 31,Timer,0.5872617363929749
Sample 31,Time-MoE,0.41273826360702515
Sample 0,TimesFM,0.536551296710968
Sample 0,Moirai,0.463448703289032
Sample 1,Chronos,0.576569676399231
Sample 1,Moirai,0.42343035340309143
Sample 2,Time-MoE,0.7348078489303589
Sample 2,TimesFM,0.2651922106742859
Sample 3,Moirai,0.5914218425750732
Sample 3,TimesFM,0.40857812762260437
Sample 4,Chronos,0.7137872576713562
Sample 4,Timer,0.2862127125263214
Sample 5,Time-MoE,0.5667481422424316
Sample 5,Timer,0.43325188755989075
Sample 6,TimesFM,0.5023094415664673
Sample 6,Timer,0.4976905882358551
Sample 7,Moirai,0.7226942777633667
Sample 7,Time-MoE,0.2773056924343109
Sample 8,TimesFM,0.5197040438652039
Sample 8,Time-MoE,0.48029595613479614
Sample 9,TimesFM,0.57154381275177
Sample 9,Timer,0.4284561574459076
Sample 10,Time-MoE,0.6252355575561523
Sample 10,Moirai,0.37476444244384766
Sample 11,TimesFM,0.5163174271583557
Sample 11,Timer,0.4836825728416443
Sample 12,TimesFM,0.8293901681900024
Sample 12,Chronos,0.17060978710651398
Sample 13,Time-MoE,0.5113210678100586
Sample 13,TimesFM,0.4886789321899414
Sample 14,Chronos,0.6330559253692627
Sample 14,Timer,0.3669440448284149
Sample 15,TimesFM,0.695904552936554
Sample 15,Chronos,0.30409547686576843
Sample 16,Time-MoE,0.5698942542076111
Sample 16,Moirai,0.4301057457923889
Sample 17,TimesFM,0.6691371202468872
Sample 17,Time-MoE,0.3308628499507904
Sample 18,Chronos,0.5680340528488159
Sample 18,Timer,0.4319659471511841
Sample 19,TimesFM,0.7367085814476013
Sample 19,Timer,0.2632914185523987
Sample 20,TimesFM,0.5290031433105469
Sample 20,Timer,0.47099682688713074
Sample 21,Time-MoE,0.6399111747741699
Sample 21,Timer,0.3600888252258301
Sample 22,Chronos,0.5517827868461609
Sample 22,Time-MoE,0.4482171833515167
Sample 23,Moirai,0.6707231402397156
Sample 23,Time-MoE,0.3292769193649292
Sample 24,Time-MoE,0.6853278875350952
Sample 24,Timer,0.3146720826625824
Sample 25,Time-MoE,0.6336947679519653
Sample 25,Timer,0.36630523204803467
Sample 26,Time-MoE,0.5639217495918274
Sample 26,TimesFM,0.436078280210495
Sample 27,Time-MoE,0.6244851350784302
Sample 27,Timer,0.37551480531692505
Sample 28,Moirai,0.7115350961685181
Sample 28,Time-MoE,0.2884649336338043
Sample 29,Time-MoE,0.5389241576194763
Sample 29,TimesFM,0.46107587218284607
Sample 30,Time-MoE,0.597480297088623
Sample 30,Moirai,0.40251970291137695
Sample 31,Timer,0.8153290748596191
Sample 31,Time-MoE,0.18467089533805847
Sample 0,Timer,0.6726997494697571
Sample 0,Moirai,0.3273002803325653
Sample 1,Chronos,0.5497511029243469
Sample 1,Moirai,0.4502488672733307
Sample 2,Time-MoE,0.6066421866416931
Sample 2,Timer,0.3933577835559845
Sample 3,TimesFM,0.5659164786338806
Sample 3,Timer,0.434083491563797
Sample 4,Time-MoE,0.5421672463417053
Sample 4,Chronos,0.4578327238559723
Sample 5,Timer,0.5789891481399536
Sample 5,Chronos,0.4210108816623688
Sample 6,Chronos,0.6504853367805481
Sample 6,Timer,0.3495147228240967
Sample 7,Chronos,0.7106015086174011
Sample 7,Moirai,0.28939855098724365
Sample 8,Time-MoE,0.5342752933502197
Sample 8,Chronos,0.4657246768474579
Sample 9,Moirai,0.5363531708717346
Sample 9,TimesFM,0.4636468291282654
Sample 10,Chronos,0.7140375971794128
Sample 10,Timer,0.28596243262290955
Sample 11,Moirai,0.5809683799743652
Sample 11,Timer,0.4190315902233124
Sample 12,TimesFM,0.6547501087188721
Sample 12,Time-MoE,0.34524989128112793
Sample 13,Time-MoE,0.6391710042953491
Sample 13,TimesFM,0.36082905530929565
Sample 14,Time-MoE,0.5161008238792419
Sample 14,Timer,0.48389914631843567
Sample 15,TimesFM,0.5655167102813721
Sample 15,Time-MoE,0.43448325991630554
Sample 16,TimesFM,0.5748918056488037
Sample 16,Chronos,0.4251081943511963
Sample 17,Chronos,0.7668368220329285
Sample 17,TimesFM,0.23316317796707153
Sample 18,Time-MoE,0.5140382051467896
Sample 18,TimesFM,0.48596176505088806
Sample 19,Moirai,0.6678944230079651
Sample 19,Time-MoE,0.3321055769920349
Sample 20,Chronos,0.5342088341712952
Sample 20,Time-MoE,0.46579116582870483
Sample 21,Moirai,0.69269859790802
Sample 21,Timer,0.30730140209198
Sample 22,TimesFM,0.7554715275764465
Sample 22,Timer,0.24452850222587585
Sample 23,TimesFM,0.6202520728111267
Sample 23,Chronos,0.3797479271888733
Sample 24,Chronos,0.5795288681983948
Sample 24,Time-MoE,0.4204711318016052
Sample 25,Moirai,0.6011839509010315
Sample 25,TimesFM,0.3988160192966461
Sample 26,Chronos,0.5458987951278687
Sample 26,Timer,0.45410120487213135
Sample 27,TimesFM,0.6380218267440796
Sample 27,Timer,0.3619781732559204
Sample 28,Timer,0.8381755948066711
Sample 28,Time-MoE,0.16182444989681244
Sample 29,Time-MoE,0.9629710912704468
Sample 29,Chronos,0.03702886030077934
Sample 30,Chronos,0.6016504168510437
Sample 30,Timer,0.3983496129512787
Sample 31,Moirai,0.7130054235458374
Sample 31,Time-MoE,0.2869945466518402
Sample 0,TimesFM,0.5660161972045898
Sample 0,Moirai,0.43398383259773254
Sample 1,Moirai,0.5621215105056763
Sample 1,TimesFM,0.4378785192966461
Sample 2,Moirai,0.8758663535118103
Sample 2,Chronos,0.12413366138935089
Sample 3,Chronos,0.7024003267288208
Sample 3,TimesFM,0.2975996136665344
Sample 4,Time-MoE,0.5924529433250427
Sample 4,TimesFM,0.4075470566749573
Sample 5,Time-MoE,0.5813043713569641
Sample 5,Timer,0.4186955988407135
Sample 6,Timer,0.6691110134124756
Sample 6,TimesFM,0.330888956785202
Sample 7,Time-MoE,0.6783742308616638
