Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.5076,7.1262,11.999,3.5485,86.7293,14.7625,10.882,6.486265795172106e+19
Timer,29.0595,7.2723,14.6937,8.5796,79.4593,7.8836,14.1019,8.550627051307008e+17
TimesFM,19.3017,8.3603,28.2933,3.2161,55.6429,5.8772,7.2491,1.5711617433993216e+19
Morai,11.015,6.5421,16.1055,5.5336,24.2285,12.5418,10.8267,4.895650770499666e+19
Chronos,12.03,10.5138,15.265,3.3556,25.239,6.1761,6.5275,2.927194897133863e+20
My-MoE,14.4076,9.8964,28.2933,4.3135,25.9907,8.4428,5.4491,6.486208070811648e+19
AutoETS,14.6167,10.0692,29.3779,6.7994,19.2164,22.1177,5.7694,3.801916646830899e+18
AutoARIMA,13.2455,8.1014,29.8808,8.0123,63.2319,6.7084,9.0901,16.6667
NBEATS,16.3189,14.8322,16.7719,9.3906,84.2465,9.1057,13.1619,3.0301815471026995e+19
RandomForest,8.3527,7.0022,10.9057,3.3568,36.0074,6.6659,5.6343,4.328339231170975e+18
XGBRegressor,5.5962,6.7368,18.2484,3.3209,42.3738,7.6265,8.217,5.076613118663066e+18
