Sample,Learner,Weight
Sample 0,Timer,0.5441446304321289
Sample 0,Chronos,0.4558553695678711
Sample 1,Moirai,0.5534929633140564
Sample 1,TimesFM,0.4465070366859436
Sample 2,Time-MoE,0.615007221698761
Sample 2,Chronos,0.384992778301239
Sample 3,Timer,0.7105801701545715
Sample 3,Moirai,0.2894198000431061
Sample 4,Chronos,0.5633324384689331
Sample 4,Moirai,0.4366675317287445
Sample 5,Time-MoE,0.6195743083953857
Sample 5,TimesFM,0.38042569160461426
Sample 6,Moirai,0.7064206004142761
Sample 6,TimesFM,0.29357945919036865
Sample 7,Chronos,0.6926331520080566
Sample 7,Timer,0.30736687779426575
Sample 8,TimesFM,0.6262860298156738
Sample 8,Timer,0.37371397018432617
Sample 9,Moirai,0.6200803518295288
Sample 9,Chronos,0.37991970777511597
Sample 10,TimesFM,0.6424879431724548
Sample 10,Moirai,0.3575119972229004
Sample 11,Chronos,0.5223491191864014
Sample 11,Moirai,0.47765085101127625
Sample 12,TimesFM,0.6135503649711609
Sample 12,Time-MoE,0.3864496648311615
Sample 13,Time-MoE,0.5718584656715393
Sample 13,Chronos,0.4281415641307831
Sample 14,Chronos,0.5630269050598145
Sample 14,Moirai,0.43697312474250793
Sample 15,Time-MoE,0.544624924659729
Sample 15,Timer,0.455375075340271
Sample 16,Time-MoE,0.6161808371543884
Sample 16,Timer,0.3838191330432892
Sample 17,Moirai,0.6717903017997742
Sample 17,Timer,0.32820963859558105
Sample 18,Chronos,0.5603513121604919
Sample 18,Time-MoE,0.43964874744415283
Sample 19,Moirai,0.5366854071617126
Sample 19,Time-MoE,0.46331459283828735
Sample 20,Timer,0.5966517925262451
Sample 20,TimesFM,0.4033481776714325
Sample 21,Timer,0.5771391987800598
Sample 21,Moirai,0.4228608012199402
Sample 22,TimesFM,0.5842368602752686
Sample 22,Chronos,0.41576313972473145
Sample 23,Timer,0.8592863082885742
Sample 23,Chronos,0.14071375131607056
Sample 24,Moirai,0.5037668347358704
Sample 24,TimesFM,0.49623316526412964
Sample 25,Moirai,0.5836337208747864
Sample 25,TimesFM,0.4163663387298584
Sample 26,Timer,0.5746713280677795
Sample 26,Time-MoE,0.42532867193222046
Sample 27,Timer,0.5024994611740112
Sample 27,Time-MoE,0.49750056862831116
Sample 28,TimesFM,0.5549488067626953
Sample 28,Moirai,0.44505125284194946
Sample 29,TimesFM,0.5570818781852722
Sample 29,Moirai,0.44291815161705017
Sample 30,Moirai,0.5032066702842712
Sample 30,TimesFM,0.49679335951805115
Sample 31,Time-MoE,0.5645679831504822
Sample 31,TimesFM,0.4354320168495178
Sample 0,Moirai,0.7945846319198608
Sample 0,Timer,0.20541541278362274
Sample 1,Moirai,0.5106753706932068
Sample 1,Time-MoE,0.4893245995044708
Sample 2,Moirai,0.5727041959762573
Sample 2,Chronos,0.4272958040237427
Sample 3,Timer,0.5509899854660034
Sample 3,Time-MoE,0.4490100145339966
Sample 4,Timer,0.7156206369400024
Sample 4,Moirai,0.28437939286231995
Sample 5,Moirai,0.6328313946723938
Sample 5,Timer,0.3671686053276062
Sample 6,Chronos,0.6095932126045227
Sample 6,Moirai,0.3904067873954773
Sample 7,Moirai,0.5977001190185547
Sample 7,Timer,0.4022998809814453
Sample 8,Chronos,0.8197206258773804
Sample 8,Moirai,0.18027938902378082
Sample 9,Moirai,0.5686478614807129
Sample 9,TimesFM,0.4313521683216095
Sample 10,Timer,0.5358800888061523
Sample 10,TimesFM,0.46411994099617004
Sample 11,Chronos,0.7103791236877441
Sample 11,Moirai,0.28962084650993347
Sample 12,TimesFM,0.5097024440765381
Sample 12,Moirai,0.4902975857257843
Sample 13,Moirai,0.6914413571357727
Sample 13,Time-MoE,0.3085586726665497
Sample 14,Chronos,0.5157164335250854
Sample 14,Moirai,0.48428359627723694
Sample 15,TimesFM,0.5251485109329224
Sample 15,Moirai,0.4748515188694
Sample 16,Time-MoE,0.6489527821540833
Sample 16,Moirai,0.35104718804359436
Sample 17,Timer,0.6071639657020569
Sample 17,Moirai,0.3928360044956207
Sample 18,Chronos,0.5844769477844238
Sample 18,Timer,0.41552305221557617
Sample 19,Chronos,0.6616163849830627
Sample 19,Timer,0.3383835554122925
Sample 20,TimesFM,0.7684546113014221
Sample 20,Moirai,0.2315453737974167
Sample 21,Time-MoE,0.6185376048088074
Sample 21,Timer,0.38146236538887024
Sample 22,Chronos,0.640247642993927
Sample 22,Moirai,0.3597523868083954
Sample 23,Chronos,0.518652617931366
Sample 23,Time-MoE,0.48134738206863403
Sample 24,TimesFM,0.6159477233886719
Sample 24,Moirai,0.38405224680900574
Sample 25,Moirai,0.5763667225837708
Sample 25,TimesFM,0.423633337020874
Sample 26,Timer,0.7780796885490417
Sample 26,Moirai,0.22192029654979706
Sample 27,Time-MoE,0.5210555195808411
Sample 27,TimesFM,0.4789445102214813
Sample 28,Moirai,0.6305010318756104
Sample 28,Timer,0.36949893832206726
Sample 29,Moirai,0.5757697224617004
Sample 29,TimesFM,0.4242302477359772
Sample 30,Timer,0.6027158498764038
Sample 30,Moirai,0.3972841501235962
Sample 31,TimesFM,0.7227621674537659
Sample 31,Chronos,0.2772378623485565
Sample 0,Timer,0.5316995978355408
Sample 0,Moirai,0.46830034255981445
Sample 1,TimesFM,0.5673011541366577
Sample 1,Chronos,0.4326988458633423
Sample 2,TimesFM,0.5476881861686707
