Sample,Learner,Weight
Sample 0,Timer,0.5456099510192871
Sample 0,Chronos,0.4543900787830353
Sample 1,Moirai,0.8086286783218384
Sample 1,TimesFM,0.19137132167816162
Sample 2,Time-MoE,0.5464876890182495
Sample 2,Chronos,0.4535122811794281
Sample 3,Timer,0.5534994006156921
Sample 3,Moirai,0.44650062918663025
Sample 4,Chronos,0.600328266620636
Sample 4,Moirai,0.39967167377471924
Sample 5,Moirai,0.7008243203163147
Sample 5,TimesFM,0.2991757094860077
Sample 6,Moirai,0.7412312626838684
Sample 6,TimesFM,0.25876879692077637
Sample 7,Chronos,0.6845635771751404
Sample 7,Timer,0.315436452627182
Sample 8,TimesFM,0.5005113482475281
Sample 8,Moirai,0.4994886815547943
Sample 9,Moirai,0.8414651155471802
Sample 9,Timer,0.15853483974933624
Sample 10,TimesFM,0.6261898279190063
Sample 10,Timer,0.37381017208099365
Sample 11,Moirai,0.8116317987442017
Sample 11,Chronos,0.18836818635463715
Sample 12,TimesFM,0.600898027420044
Sample 12,Time-MoE,0.39910197257995605
Sample 13,Moirai,0.7055023312568665
Sample 13,Chronos,0.29449766874313354
Sample 14,Chronos,0.5000568628311157
Sample 14,Moirai,0.49994316697120667
Sample 15,Time-MoE,0.5670835375785828
Sample 15,Timer,0.43291643261909485
Sample 16,Time-MoE,0.6128107309341431
Sample 16,Timer,0.3871892988681793
Sample 17,Moirai,0.8476152420043945
Sample 17,Timer,0.15238481760025024
Sample 18,Chronos,0.6083973050117493
Sample 18,Moirai,0.39160269498825073
Sample 19,Moirai,0.7340771555900574
Sample 19,TimesFM,0.265922874212265
Sample 20,Timer,0.6443731188774109
Sample 20,TimesFM,0.35562682151794434
Sample 21,Timer,0.5405499935150146
Sample 21,Moirai,0.45945000648498535
Sample 22,TimesFM,0.5262739062309265
Sample 22,Timer,0.4737261235713959
Sample 23,Timer,0.7249802947044373
Sample 23,Chronos,0.27501967549324036
Sample 24,TimesFM,0.5022825002670288
Sample 24,Moirai,0.4977175295352936
Sample 25,Moirai,0.8339461088180542
Sample 25,TimesFM,0.16605393588542938
Sample 26,Timer,0.7047396898269653
Sample 26,Moirai,0.29526033997535706
Sample 27,Moirai,0.758021891117096
Sample 27,Timer,0.24197815358638763
Sample 28,TimesFM,0.5185315608978271
Sample 28,Moirai,0.48146843910217285
Sample 29,Moirai,0.6899329423904419
Sample 29,TimesFM,0.3100670576095581
Sample 30,Moirai,0.5824846029281616
Sample 30,TimesFM,0.417515367269516
Sample 31,Timer,0.5172439217567444
Sample 31,Time-MoE,0.4827560782432556
Sample 0,Moirai,0.7183329463005066
Sample 0,Time-MoE,0.2816670835018158
Sample 1,Moirai,0.7662620544433594
Sample 1,TimesFM,0.23373791575431824
Sample 2,TimesFM,0.7813096046447754
Sample 2,Chronos,0.21869038045406342
Sample 3,Moirai,0.7508251070976257
Sample 3,TimesFM,0.24917487800121307
Sample 4,Timer,0.8479082584381104
