Modelo,Etanolhidratado,Gasolinac,Gasolinadeaviacao,Glp,Oleocombustivel,Oleodiesel,Querosenedeaviacao,Queroseneiluminante
Time-MoE,11.5076,7.1262,11.999,3.5485,86.7293,14.7625,10.882,6.486265795172106e+19
Timer,30.9656,16.2303,21.343,3.1897,78.7515,7.8242,9.7268,9.422882682322289e+19
TimesFM,19.3017,8.3603,28.2933,3.2161,55.6429,5.8772,7.2491,1.5711617433993216e+19
Morai,11.1658,6.883,16.0441,5.4317,22.8422,12.7612,10.8158,3.7591900544722534e+19
Chronos,12.03,10.5138,15.265,3.3556,25.239,6.1761,6.5275,2.927194897133863e+20
My-MoE,14.3094,9.1736,16.0914,4.3722,43.7862,8.1133,6.1276,5.283941497962496e+18
AutoETS,14.6167,10.0692,29.3779,6.7994,19.2164,22.1177,5.7694,3.801916646830899e+18
AutoARIMA,13.2455,8.1014,29.8808,8.0123,63.2319,6.7084,9.0901,16.6667
NBEATS,16.3189,14.8322,16.7719,9.3906,84.2465,9.1057,13.1619,3.0301815471026995e+19
RandomForest,9.0473,6.6365,11.2774,3.3858,36.789,7.0267,5.8993,4.280414551473652e+18
XGBRegressor,5.5962,6.7368,18.2484,3.3209,42.3738,7.6265,8.217,5.076613118663066e+18
