Algoritmo,Horizonte,Erro_Médio,Desvio_Padrão
My-MoE,horizon_12,16.7334,18.456
Chronos,horizon_12,16.8723,19.3428
TimesFM,horizon_12,17.1138,18.6205
Time-MoE,horizon_12,18.2157,15.9838
Morai,horizon_12,19.0588,18.9001
Timer,horizon_12,19.6907,17.129
My-MoE,horizon_24,14.3169,12.6342
TimesFM,horizon_24,15.4999,12.3164
Chronos,horizon_24,15.8108,14.2668
Timer,horizon_24,17.2948,9.8153
Time-MoE,horizon_24,17.3973,8.8032
Morai,horizon_24,17.8494,14.0666
My-MoE,horizon_3,5.3201,0.8158
Chronos,horizon_3,5.6034,0.9895
Time-MoE,horizon_3,5.6518,0.7182
TimesFM,horizon_3,6.0232,0.9284
Timer,horizon_3,7.0138,2.3266
Morai,horizon_3,8.3877,2.0527
Chronos,horizon_6,6.913,1.2473
My-MoE,horizon_6,7.2538,1.7475
TimesFM,horizon_6,7.4985,1.6401
Time-MoE,horizon_6,7.5714,1.9252
Timer,horizon_6,8.4269,2.9211
Morai,horizon_6,10.1058,2.5176
