Sample,Learner,Weight
Sample 0,Chronos,0.5321611166000366
Sample 0,Timer,0.46783894300460815
Sample 1,Chronos,0.5825508236885071
Sample 1,Time-MoE,0.4174492657184601
Sample 2,Time-MoE,0.6824878454208374
Sample 2,Moirai,0.317512184381485
Sample 3,Moirai,0.5464377403259277
Sample 3,Time-MoE,0.4535622298717499
Sample 4,Time-MoE,0.7471413612365723
Sample 4,Chronos,0.25285863876342773
Sample 5,TimesFM,0.5301657915115356
Sample 5,Chronos,0.4698341190814972
Sample 6,Chronos,0.5629326701164246
Sample 6,Timer,0.4370673596858978
Sample 7,Timer,0.5325015783309937
Sample 7,TimesFM,0.46749842166900635
Sample 8,Chronos,0.5441601276397705
Sample 8,Time-MoE,0.4558398425579071
Sample 9,Chronos,0.5209308862686157
Sample 9,Moirai,0.47906920313835144
Sample 10,Moirai,0.6215394735336304
Sample 10,Chronos,0.378460556268692
Sample 11,Timer,0.6284902095794678
Sample 11,TimesFM,0.37150976061820984
Sample 12,Time-MoE,0.7130107283592224
Sample 12,Chronos,0.2869892716407776
Sample 13,Chronos,0.5284384489059448
Sample 13,Moirai,0.4715615510940552
Sample 14,Timer,0.5973435640335083
Sample 14,Moirai,0.4026564061641693
Sample 15,TimesFM,0.5026479959487915
Sample 15,Time-MoE,0.4973520338535309
Sample 16,Chronos,0.517221987247467
Sample 16,Time-MoE,0.48277798295021057
Sample 17,Chronos,0.784674346446991
Sample 17,Time-MoE,0.215325728058815
Sample 18,Timer,0.6973492503166199
Sample 18,Chronos,0.30265071988105774
Sample 19,Chronos,0.5057867169380188
Sample 19,TimesFM,0.4942132532596588
Sample 20,Moirai,0.5475195646286011
Sample 20,TimesFM,0.4524804353713989
Sample 21,TimesFM,0.5632246136665344
Sample 21,Timer,0.43677541613578796
Sample 22,Time-MoE,0.754542350769043
Sample 22,Chronos,0.24545764923095703
Sample 23,Time-MoE,0.5832846760749817
Sample 23,Moirai,0.4167153537273407
Sample 24,Moirai,0.7130069732666016
Sample 24,Timer,0.2869931161403656
Sample 25,TimesFM,0.6032368540763855
Sample 25,Time-MoE,0.3967631161212921
Sample 26,Chronos,0.8834835290908813
Sample 26,Timer,0.11651644110679626
Sample 27,Moirai,0.5748904943466187
Sample 27,Chronos,0.42510953545570374
Sample 28,Time-MoE,0.5660256743431091
Sample 28,Chronos,0.43397432565689087
Sample 29,Moirai,0.5237073302268982
Sample 29,TimesFM,0.4762926399707794
Sample 30,Time-MoE,0.7176491618156433
Sample 30,Chronos,0.2823508083820343
Sample 31,TimesFM,0.5636746287345886
Sample 31,Time-MoE,0.436325341463089
